Title,Year,Notes
Ace Ventura: Pet Detective,1994,d.- Tom Shadyac (6 1/2)
Black Beauty,1994,(BR-US) d.- Caroline Thompson (6 1/2)
Backbeat,1994,(BR-GER) d.- Iain Softley (6 1/2)
Disclosure,1994,d.- Barry Levinson (6 1/2)
A Simple Twist of Fate,1994,d.- Gillies MacKinnon (6 1/2)
What Happened Was…,1994,d.- Tom Noonan (6 1/2)
Crooklyn,1994,d.- Spike Lee (6 1/2)
Nell,1994,d.- Michael Apted (6 1/2)
Amateur,1994,(US-BR-FR) d.- Hal Hartley (6 1/2)
War of the Buttons,1994,(IRE-BR-FR-JAP) d.- John Roberts (6 1/2)
Love Affair,1994,d.- Glenn Gordon Caron (6 1/2)
Wyatt Earp,1994,d.- Lawrence Kasdan (6 1/2)
Guarding Tess,1994,d.- Hugh Wilson (6 1/2)
Sister My Sister,1994,(BR) d.- Nancy Meckler (6 1/2)
Sugar Hill,1994,d.- Leon Ichaso (6 1/2)
Blown Away,1994,d.- Stephen Hopkins (6 1/2)
Oleanna,1994,d.- David Mamet (6 1/2)
A Man of No Importance,1994,(IRE-BR)  d.- Suri Krishnamma (6 1/2)
The Last Good Time,1994,d.- Bob Balaban (6 1/2)
I’ll Do Anything,1994,d.- James L. Brooks (6 1/2)
Intersection,1994,d.- Mark Rydell (6 1/2)
Wes Craven’s New Nightmare,1994,d.- Wes Craven (6 1/2)
I Love Trouble,1994,d.- Charles Shyer (6 1/2)
The Getaway,1994,(US-JAP) d.- Roger Donaldson (6 1/2)
Miracle on 34th Street,1994,d.- Les Mayfield (6 1/2)
Camilla,1994,(CAN-BR) d.- Deepa Mehta (6 1/2)
Lassie,1994,d.- Daniel Petrie (6 1/2)
Little Giants,1994,d.- Duwayne Dunham (6 1/2)
Serial Mom,1994,d.- John Waters (6 1/2)
Milk Money,1994,d.- Richard Benjamin (6 1/2)
The Specialist,1994,(PERU-US) d.- Luis Llosa (6 1/2)
Blue Chips,1994,d.- William Friedkin (6 1/2)
Rennaisance Man,1994,d.- Penny Marshall (6 1/2)
Metal Skin,1994,(AUS) d.- Geoffrey Wright (6 1/2)
Cobb,1994,d.- Ron Shelton (6 1/2)
Spanking the Monkey,1994,d.- David O. Russell (6 1/2)
Nadja,1994,d.- Michael Almereyda (6 1/2)
Go Fish,1994,d.- Rose Troche (6 1/2)
Mary Shelley’s Frankenstein,1994,(BR-JAP-US) d.- Kenneth Branagh (6 1/2)
Night of the Running Man,1994,d.- Mark L. Lester (6 1/2)
Greedy,1994,d.- Jonathan Lynn (6 1/2)
Prince of Jutland,1994,(NETH-BR-DEN-FR-GER) d.- Gabriel Axel (6 1/2)
City Slickers II: The Legend of Curly’s Gold,1994,d.- Paul Weiland (6 1/2)
Surviving the Game,1994,d.- Ernest R. Dickerson (6 1/2)
Captives,1994,(BR) d.- Angela Pope (6 1/2)
Dumb & Dumber,1994,d.- Peter Farrelly (6 1/2)
The Cowboy Way,1994,d.- Gregg Champion (6 1/2)
It Runs in the Family,1994,d.- Bob Clark (6 1/2)
The Pagemaster,1994,d.- Joe Johnston (6 1/2)
Richie Rich,1994,d.- Donald Petrie (6 1/2)
Threesome,1994,d.- Andrew Fleming (6 1/2)
Reality Bites,1994,d.- Ben Stiller (6 1/2)
Naked Gun 33 1/3: The Final Insult,1994,d.- Peter Segal (6 1/2)
Bad Girls,1994,d.- Jonathan Kaplan (6 1/2)
8 Seconds,1994,d.- John G. Avildsen (6 1/2)
The Little Rascals,1994,d.- Penelope Spheeris (6 1/2)
Fear of a Black Hat,1994,(US-BR) d.- Rusty Cundieff (6 1/2)
Pontiac Moon,1994,d.- Peter Medak (6 1/2)
A Good Man in Africa,1994,(SA-US) d.- Bruce Beresford (6 1/2)
Angie,1994,d.- Martha Coolidge (6 1/2)
Exotica,1994,(CAN) d.- Atom Egoyan (6 1/2)
The Air Up There,1994,d.- Paul Michael Glaser (6 1/2)
Beverly Hills Cop III,1994,d.- John Landis (6 1/2)
Amateur,1994,(US-BR-FR) d.- Hal Hartley (6 1/2)
Silent Tongue,1994,(FR-NETH-BR-US) d.- Sam Shepard (6 1/2)
Angels in the Outfield,1994,d.- William Dear (6 1/2)
The Scout,1994,d.- Michael Ritchie (6 1/2)
The Last Tatoo,1994,(NZ) d.- John Reid (6 1/2)
The Road to Wellville,1994,d.- Alan Parker (6 1/2)
A Low Down Dirty Shame,1994,d.- Keenen Ivory Wayans (6 1/2)
Trial by Jury,1994,d.- Heywood Gould (6 1/2)
Princess Caraboo,1994,(BR-US) d.- Michael Austin (6 1/2)
The Flintstones,1994,d.- Brian Levant (6 1/2)
The Chase,1994,d.- Adam Rifkin (6 1/2)
The Inkwell,1994,d.- Matty Rich (6 1/2)
Blankman,1994,d.- Mike Binder (6 1/2)
The Dark,1994,(CAN) d.- Craig Pryce (6 1/2)
Killing Zoe,1994,(FR-US) d.- Roger Avary (6 1/2)
Spider & Rose,1994,(AUS) d.- Bill Bennett (6 1/2)
Clean Slate,1994,d.- Mick Jackson (6 1/2)
Dallas Doll,1994,(AUS) d.- Ann Turner (6)
Airheads,1994,d.- Michael Lehmann (6 1/2)
Killer,1994,d.- Mark Malone (6)
The New Age,1994,d.- Michael Tolkin (6)
Paperback Romance,1994,(AUS) d.- Ben Lewin (6)
Naked in New York,1994,d.- Daniel Algrant (6)
Camp Nowhere,1994,d.- Jonathan Prince (6)
Imaginary Crimes,1994,d.- Anthony Drazen (6)
S.F.W.,1994,d.- Jefery Levy (6)
The Favor,1994,d.- Donald Petrie (6)
Brainscan,1994,(CAN-US-BR) d.- John Flynn (6)
Clifford,1994,d.- Paul Flaherty (6)
The Stoned Age,1994,d.- James Melkonian (6)
Nina Takes a Lover,1994,d.- Alan Jacobs (6)
Trial by Jury,1994,d.- Heywood Gould (6)
Bad Blood,1994,d.- Tibor Takacs (5 1/2)
I Like it Like That,1994,d.- Darnell Martin (5 1/2)
Leprechaun,1994,d.- Mark Jones (5 1/2)
Braveheart,1995,d.- Mel Gibson (7)
Se7en,1995,d.- David Fincher (7)
Twelve Monkeys,1995,d.- Terry Gilliam (7)
Sense and Sensibility,1995,(US-BR) d.- Ang Lee (7)
Babe,1995,(AUS) d.- Chris Noonan (7)
The Usual Suspects,1995,d.- Bryan Singer (7)
Apollo 13,1995,d.- Ron Howard (7)
Land and Freedom,1995,(BR-SP) d.- Ken Loach (7)
Leaving Las Vegas,1995,d.- Mike Figgis (7)
Heat,1995,d.- Michael Mann (7)
Slingblade,1995,d.- Billy Bob Thornton (7)
The Bridges of Madison County,1995,d.- Clint Eastwood (6 1/2)
Dead Man Walking,1995,d.- Tim Robbins (6 1/2)
A Little Princess,1995,d.- Alfonso Cuaron (6 1/2)
The Ice Storm,1995,d.- Ang Lee (6 1/2)
Before Sunrise,1995,(US-AUST-SW) d.- Richard Linklater (6 1/2)
Once Upon a Time…When We Were Colored,1995,d.- Tim Reid (6 1/2)
Mr. Holland's Opus,1995,d.- Stephen Herek (6 1/2)
Casino,1995,d.- Martin Scorsese (6 1/2)
Muriel's Wedding,1995,(AUS) d.- P. J. Hogan (6 1/2)
Crimson Tide,1995,d.- Tony Scott (6 1/2)
Nixon,1995,d.- Oliver Stone (6 1/2)
Richard III,1995,(BR) d.- Richard Loncraine (6 1/2)
Rob Roy,1995,d.- Michael Caton-Jones (6 1/2)
Othello,1995,(US-BR) d.- Oliver Parker (6 1/2)
GoldenEye,1995,(BR-US) d.- Martin Campbell (6 1/2)
"Cry, the Beloved Country",1995,(SA) d.- Darrell Roodt (6 1/2)
Little Odessa,1995,d.- James Gray (6 1/2)
Get Shorty,1995,d.- Barry Sonnenfeld (6 1/2)
The American President,1995,d.- Rob Reiner (6 1/2)
Copycat,1995,d.- Jon Amiel (6 1/2)
Clockers,1995,d.- Spike Lee (6 1/2)
Diehard: With a Vengeance,1995,d.- John McTiernan (6 1/2)
Smoke,1995,(GER-US-JAP) d.- Wayne Wang (6 1/2)
In the Bleak Midwinter,1995,(BR) d.- Kenneth Branagh (6 1/2)
Friday,1995,d.- F. Gary Gray (6 1/2)
Funny Bones,1995,(BR-US) - Peter Chelsom (6 1/2)
Georgia,1995,d.- Ulu Grosbard (6 1/2)
Dead Presidents,1995,"d.- Albert Hughes, Allen Hughes (6 1/2)"
To Die For,1995,d.- Gus Van Sant (6 1/2)
Strange Days,1995,d.- Kathryn Bigelow (6 1/2)
Mighty Aphrodite,1995,d.- Woody Allen (6 1/2)
Bad Boys,1995,d.- Michael Bay (6 1/2)
A Walk in the Clouds,1995,(US-MEX) d.- Alfonso Arau (6 1/2)
While You Were Sleeping,1995,d.- Jon Turtletaub (6 1/2)
Clueless,1995,d.- Amy Heckerling (6 1/2)
Unstrung Heroes,1995,d.- Diane Keaton (6 1/2)
The Indian and the Cupboard,1995,d.- Frank Oz (6 1/2)
Dead Man,1995,d.- Jim Jarmusch (6 1/2)
French Kiss,1995,d.- Lawrence Kasdan (6 1/2)
Small Faces,1995,(SCOT-BR) d.- Gillies Mackinnon (6 1/2)
How to Make an American Quilt,1995,d.- Jocelyn Moorhouse (6 1/2)
Tommy Boy,1995,d.- Peter Segal (6 1/2)
Desperado,1995,d.- Robert Rodriguez (6 1/2)
Murder in the First,1995,(FR-US) d.- Marc Rocco (6 1/2)
Restoration,1995,(BR-US) d.- Michael Hoffman (6 1/2)
Frankie Starlight,1995,(IRE) d.- Michael Lindsay-Hogg (6 1/2)
My Family,1995,d.- Gregory Nava (6 1/2)
Sabrina,1995,d.- Sydney Pollack (6 1/2)
Margaret’s Museum,1995,(CAN-BR) d.- Mort Ransen (6 1/2)
Go Now,1995,(BR) d.- Michael Winterbottom (6 1/2)
The Basketball Diaries,1995,d.- Scott Kalvert (6 1/2)
Outbreak,1995,d.- Wolfgang Peterson (6 1/2)
The Crossing Guard,1995,d.- Sean Penn (6 1/2)
The Perez Family,1995,d.- Mira Nair (6 1/2)
Carrington,1995,(BR-FR) d.- Christopher Hampton (6 1/2)
Forget Paris,1995,d.- Billy Crystal (6 1/2)
Boys on the Side,1995,d.- Herbert Ross (6 1/2)
Higher Learning,1995,d.- John Singleton (6 1/2)
The Net,1995,d.- Irwin Winkler (6 1/2)
Heavy,1995,d.- James Mangold (6 1/2)
Batman Forever,1995,d.- Joel Schumacher (6 1/2)
The Quick and the Dead,1995,d.- Sam Raimi (6 1/2)
Living in Oblivion,1995,d.- Tom DeCillo (6 1/2)
The Englishman Who Went Up a Hill*,1995,(BR) d. Christopher Monger (6 1/2)
Jeffrey,1995,d.- Christopher Ashley (6 1/2)
Nick of Time,1995,d.- John Badham (6 1/2)
Father of the Bride Part II,1995,d.- Charles Shyer (6 1/2)
Species,1995,d.- Roger Donaldson (6 1/2)
When Night Is Falling,1995,(CAN) d.- Patricia Rozema (6 1/2)
Angels and Insects,1995,(US-BR) d.- Philip Haas (6 1/2)
Waiting to Exhale,1995,d.- Forest Whitaker (6 1/2)
The Brady Bunch Movie,1995,d.- Betty Thomas (6 1/2)
Powder,1995,d.- Victor Salva (6 1/2)
Denise Calls Up,1995,d.- Hal Salwen (6 1/2)
Jefferson in Paris,1995,(FR-US) d.- James Ivory (6 1/2)
Moonlight and Valentino,1995,(BR-US) d.- David Anspaugh (6 1/2)
Total Eclipse,1995,(BR-FR-BEL-IT) d.- Agnieszka Holland (6 1/2)
Butterfly Kiss,1995,(BR) d.- Michael Winterbottom (6 1/2)
A Month By the Lake,1995,(BR-US) d.- John Irvin (6 1/2)
Assassins,1995,d.- Richard Donner (6 1/2)
Under Siege 2: Dark Territory,1995,d.- Geoff Murphy (6 1/2)
Billy Madison,1995,d.- Tamra Davis (6 1/2)
Canadian Bacon,1995,d.- Michael Moore (6 1/2)
Roosters,1995,d.- Robert M. Young (6 1/2)
Judge Dredd,1995,d.- Danny Cannon (6 1/2)
The Money Train,1995,d.- Joseph Ruben (6 1/2)
Home for the Holidays,1995,d.- Jodie Foster (6 1/2)
New Jersey Drive,1995,d.- Nick Gomez (6 1/2)
Dangerous Minds,1995,d.- John M. Smith (6 1/2)
Something to Talk About,1995,d.- Lasse Hallstrom (6 1/2)
Congo,1995,d.- Frank Marshall (6 1/2)
Jack & Sarah,1995,(FR-BR) d.- Tim Sullivan (6 1/2)
In the Mouth of Madness,1995,d.- John Carpenter (6 1/2)
Two Deaths,1995,(BR) d.- Nicolas Roeg (6 1/2)
Houseguest,1995,d.- Randall Miller (6 1/2)
Three Wishes,1995,d.- Martha Coolidge (6 1/2)
Jumanji,1995,d.- Joe Johnston (6 1/2)
Blue in the Face,1995,"d.- Paul Auster, Wayne and Harvey Wang (6 1/2)"
Wild Bill,1995,d.- Walter Hill (6 1/2)
"To Wong Foo Thanks for Everything, Julie Newmar",1995,d.- Beeban Kidron (6 1/2)
Last of the Dogmen,1995,d.- Tab Murphy (6 1/2)
Grumpier Old Men,1995,d.- Howard Deutch (6 1/2)
Underneath,1995,d.- Steven Soderbergh (6 1/2)
Dance Me Outside,1995,d.- Bruce McDonald (6 1/2)
Vampire in Brooklyn,1995,d.- Wes Craven (6 1/2)
Just Cause,1995,d.- Arne Glimcher (6 1/2)
Now and Then,1995,d.- Lesli Linka Glatter (6 1/2)
Waterworld,1995,d.- Kevin Reynolds (6 1/2)
Tall Tale,1995,d.- Jeremiah S. Chechik (6 1/2)
Far From Home: The Adventures of Yellow Dog,1995,d.- Phillip Borsos (6 1/2)
The Brothers McMullen,1995,d.- Edward Burns (6 1/2)
The Incredibly True Adventure of Two Girls in Love,1995,d.- Maria Maggenti (6 1/2)
The Amazing Panda Adventure,1995,d.- Christopher Cain (6 1/2)
An Awfully Big Adventure,1995,(BR) d.- Mike Newell (6 1/2)
Palookaville,1995,d.- Alan Taylor (6 1/2)
Kids,1995,d.- Larry Clark (6 1/2)
Village of the Damned,1995,d.- John Carpenter (6 1/2)
Mortal Kombat,1995,d.- Paul W. S. Anderson (6 1/2)
Canadian Bacon,1995,d.- Michael Moore (6 1/2)
Dracula: Dead and Loving It,1995,(US-FR) d.- Mel Brooks (6 1/2)
The Scarlet Letter,1995,d.- Roland Joffe (6 1/2)
Manhattan Merengue!,1995,d.- Joseph B. Vasquez (6 1/2)
Cutthroat Island,1995,(US-FR-IT-GER) d.- Renny Harlin (6 1/2)
Roomates,1995,d.- Peter Yates (6 1/2)
Reckless,1995,d.- Norman Rene (6 1/2)
Casper,1995,d.- Brad Silberling (6 1/2)
The Addiction,1995,(US-ARG) d.- Abel Ferrara (6 1/2)
Kiss of Death,1995,d.- Barbet Schroeder (6 1/2)
Candyman: Farewell to the Flesh,1995,d.- Bill Condon (6 1/2)
Sudden Death,1995,d.- Peter Hyams (6 1/2)
Fluke,1995,d.- Carlo Carlei (6 1/2)
Haunted,1995,(BR-US) d.- Lewis Gilbert (6 1/2)
Virtuosity,1995,d.- Brett Leonard (6 1/2)
Let It Be Me,1995,d.- Eleanor Bergstein (6 1/2)
Johnny Mnemonic,1995,(CAN-US) d.- Robert Longo (6 1/2)
Angus,1995,(US-BR-GER-FR) d.- Patrick Read Johnson (6 1/2)
Two Bits,1995,d.- James Foley (6 1/2)
Things to Do in Denver When You’re Dead,1995,d.- Gary Fleder (6 1/2)
Last Summer in the Hamptons,1995,d.- Henry Jaglom (6 1/2)
Nine Months,1995,d.- Chris Columbus (6 1/2)
Mallrats,1995,d.- Kevin Smith (6 1/2)
Bad Company,1995,d.- Damian Harris (6 1/2)
Angel Baby,1995,(AUS) d.- Michael Rhymer (6 1/2)
Lord of Illusions,1995,d.- Clive Barker (6 1/2)
Gospa,1995,(CRO-CAN-US) d.- Jakov Sedlar (6 1/2)
Frank and Jesse,1995,d.- Robert Boris (6 1/2)
The Prophecy,1995,d.- Gregory Widen (6 1/2)
Let It Be Me,1995,d.- Eleanor Bergstein (6 1/2)
One Tough Bastard,1995,d.- Kurt Wimmer (6 1/2)
The Walking Dead,1995,d.- Preston A. Whitmore II (6 1/2)
Panther,1995,(BR-US) d.- Mario Van Peebles (6 1/2)
The Grass Harp,1995,d.- Charles Matthau (6 1/2)
Stonewall,1995,(BR) d.- Nigel Finch (6 1/2)
Two Much,1995,(SP-US) d.- Fernando Trueba (6 1/2)
Café Society,1995,d.- Raymond De Felitta (6)
Wild Side,1995,(BR-US) d.- Donald Cammell (6)
Feast of July,1995,(US-BR) d.- Christopher Menaul (6)
Hideaway,1995,d.- Brett Leonard (6)
White Man’s Burden,1995,(FR-US) d.- Desmond Nakano (6)
Screamers,1995,(CAN-US-JAP) d.- Christian Duguay (6)
Nothing Personal,1995,(BR-IRE) d.- Thaddeus O’Sullivan (6)
Drunks,1995,d.- Peter Cohn (6)
The Low Life,1995,d.- George Hickenlooper (6)
Bushwacked,1995,d.- Greg Beeman (6)
Pharaoh’s Army,1995,d.- Robby Henson (6)
Tom and Huck,1995,d.- Peter Hewitt (6)
Miami Rhapsody,1995,d.- David Frankel (6)
Kicking and Screaming,1995,d.- Noah Baumbach (6)
Bye Bye Love,1995,d.- Sam Weisman (6)
The Hunted,1995,d.- J.F. Lawton (6)
Homage,1995,d.- Ross Kagan Marks (6)
Fargo,1996,d.- Joel Coen (7)
Hamlet,1996,(BR-US) d.- Kenneth Branagh (7)
Shine,1996,(AUS) d.- Scott Hicks (7)
The English Patient,1996,(US-BR) d.- Anthony Minghella (7)
Breaking the Waves,1996,(DEN) d.- Lars von Trier (7)
Secrets and Lies,1996,(BR-FR) d.- Mike Leigh (7)
Lone Star,1996,d.- John Sayles (6 1/2)
Jerry Maguire,1996,d.- Cameron Crowe (6 1/2)
Courage Under Fire,1996,d.- Edward Zwick (6 1/2)
Trainspotting,1996,(SCOT) d.- Danny Boyle (6 1/2)
Welcome to the Dollhouse,1996,d.- Todd Solondz (6 1/2)
A Time to Kill,1996,d.- Joel Schumacher (6 1/2)
Michael Collins,1996,(BR-IRE-US) d.- Neil Jordan (6 1/2)
The Crucible,1996,d.- Nicholas Hytner (6 1/2)
The People vs. Larry Flynt,1996,(CAN-US) d.- Milos Forman (6 1/2)
Twelfth Night: Or What You Will,1996,(BR-IRE-US) d.- Trevor Nunn (6 1/2)
Primal Fear,1996,d.- Gregory Hoblit (6 1/2)
Sydney(Hard Eight),1996,d.- Paul Thomas Anderson (6 1/2)
Jude,1996,(BR) d.- Michael Winterbottom (6 1/2)
Basquiat,1996,d.- Julian Schnabel (6 1/2)
The Birdcage,1996,d.- Mike Nichols (6 1/2)
Looking for Richard,1996,d.- Al Pacino (6 1/2)
Fly Away Home,1996,d.- Carroll Ballard (6 1/2)
The Portrait of a Lady,1996,(BR) d.- Jane Campion (6 1/2)
The Rock,1996,d.- Michael Bay (6 1/2)
Emma,1996,(BR-US) d.- Douglas McGrath (6 1/2)
Marvin's Room,1996,d.- Jerry Zaks (6 1/2)
Big Night,1996,d.- Stanley Tucci (6 1/2)
Waiting For Guffman,1996,d.- Christopher Guest (6 1/2)
Twister,1996,d.- Jan De Bont (6 1/2)
The First Wives Club,1996,d.- Hugh Wilson (6 1/2)
Evita,1996,d.- Alan Parker (6 1/2)
Brassed Off,1996,(BR-US) d.- Mark Herman (6 1/2)
Scream,1996,d.- Wes Craven (6 1/2)
Unhook the Stars,1996,(FR-US) d.- Nick Cassavettes (6 1/2)
Some Mother’s Son,1996,(IRE-US) d.- Terry George (6 1/2)
Citizen Ruth,1996,d.- Alexander Payne (6 1/2)
Mother,1996,d.- Albert Brooks (6 1/2)
Bottle Rocket,1996,d.- Wes Anderson (6 1/2)
Devil in a Blue Dress,1996,d.- Carl Franklin (6 1/2)
Some Mother’s Son,1996,(IRE-US) d.- Terry George (6 1/2)
Flirting with Disaster,1996,d.- David O. Russell (6 1/2)
Everyone Says I Love You,1996,d.- Woody Allen (6 1/2)
Gray’s Anatomy,1996,(BR-US) d.- Steven Soderbergh (6 1/2)
Cosi,1996,(AUS) d.- Mark Joffe (6 1/2)
Beautiful Girls,1996,d.- Ted Demme (6 1/2)
The Van,1996,(BR-IRE) d.- Stephen Frears (6 1/2)
Independence Day,1996,d.- Roland Emmerich (6 1/2)
A Family Thing,1996,d.- Richard Pearce (6 1/2)
The Whole Wide World,1996,d.- Dan Ireland (6 1/2)
Matilda,1996,d.- Danny De Vito (6 1/2)
Manny And Lo,1996,d.- Lisa Krueger (6 1/2)
Phenomenon,1996,d.- Jon Turtletaub (6 1/2)
Sleepers,1996,d.- Barry Levinson (6 1/2)
Mission Impossible,1996,d.- Brian De Palma (6 1/2)
Get on the Bus,1996,d.- Spike Lee (6 1/2)
Daylight,1996,d.- Rob Cohen (6 1/2)
White Squall,1996,d.- Ridley Scott (6 1/2)
Michael,1996,d.- Nora Ephron (6 1/2)
The Frighteners,1996,(NZ-US) d.- Peter Jackson (6 1/2)
The Nutty Professor,1996,d.- Tom Shadyac (6 1/2)
The Mirror Has Two Faces,1996,d.- Barbra Streisand (6 1/2)
Mother Night,1996,d.- Keith Gordon (6 1/2)
Jane Eyre,1996,(FR-IT-BR-US) d.- Franco Zeffirelli (6 1/2)
One Fine Day,1996,d.- Michael Hoffman (6 1/2)
Grace of My Heart,1996,d.- Allison Anders (6 1/2)
The Pillow Book,1996,(FR-BR-NETH-LUX) d.- Peter Greenaway (6 1/2)
Mary Reilly,1996,d.- Stephen Frears (6 1/2)
William Shakespeare’s Romeo + Juliet,1996,d.- Baz Luhrmann (6 1/2)
The Funeral,1996,d.- Abel Ferrara (6 1/2)
The Quiet Room,1996,(AUS-IT-FR) d.- Rolf de Heer (6 1/2)
Executive Decision,1996,d.- Stuart Baird (6 1/2)
Muppet Treasure Island,1996,d.- Brian Henson (6 1/2)
Ransom,1996,d.- Ron Howard (6 1/2)
Dragonheart,1996,d.- Rob Cohen (6 1/2)
The Arrival,1996,d.- David Twohy (6 1/2)
The Associate,1996,d.- Donald Petrie (6 1/2)
The Long Kiss Goodnight,1996,d.- Renny Harlin (6 1/2)
Set It Off,1996,d.- F. Gary Gray (6 1/2)
The Making of the Mahatma,1996,(SA-IND) d.- Shyam Benegal (6 1/2)
The Truth About Cats and Dogs,1996,d.- Michael Lehmann (6 1/2)
When Saturday Comes,1996,(BR) d.- Maria Giese (6 1/2)
Lilian’s Story,1996,(AUS) d.- Jerzy Domaradzki (6 1/2)
That Thing You Do,1996,d.- Tom Hanks (6 1/2)
Blood and Wine,1996,(US-BR) d.- Bob Rafelson (6 1/2)
Stealing Beauty,1996,(IT-FR-BR) d.- Bernardo Bertolucci (6 1/2)
Caught,1996,d.- Robert M. Young (6 1/2)
Mulholland Falls,1996,d.- Lee Tamahori (6 1/2)
From Dusk Till Dawn,1996,d.- Robert Rodriguez (6 1/2)
Heaven’s Prisoners,1996,d.- Phil Joanou (6 1/2)
Ghosts of Mississippi,1996,d.- Rob Reiner (6 1/2)
Happy Gilmore,1996,d.- Dennis Dugan (6 1/2)
The Ghost and The Darkness,1996,d.- Stephen Hopkins (6 1/2)
The Juror,1996,d.- Brian Gibson (6 1/2)
The Last of the High Kings,1996,(DEN-IRE-BR) d.- David Keating (6 1/2)
Extreme Measures,1996,d.- Michael Apted (6 1/2)
Crash,1996,(CAN-BR) d.- David Cronenberg (6 1/2)
SubUrbia,1996,d.- Richard Linklater (6 1/2)
Eye for an Eye,1996,d.- John Schlesinger (6 1/2)
Harriet the Spy,1996,d.- Bronwen Hughes (6 1/2)
Kingpin,1996,"d.- Bobby Farrelly, Peter Farrelly (6 1/2)"
The Preacher’s Wife,1996,d.- Penny Marshall (6 1/2)
It’s My Party,1996,d.- Randal Kleiser (6 1/2)
Last Dance,1996,d.- Bruce Beresford (6 1/2)
Beautiful Thing,1996,(BR) d.- Hettie MacDonald (6 1/2)
Up Close and Personal,1996,d.- Jon Avnet (6 1/2)
Star Trek: First Contact,1996,d.- Jonathan Frakes (6 1/2)
Brilliant Lies,1996,(AUS) d.- Richard Franklin (6 1/2)
No Way Home,1996,(US-BR) d.- Buddy Giovinazzo (6 1/2)
Escape From L.A.,1996,d.- John Carpenter (6 1/2)
Walking and Talking,1996,(BR-US-GER) d.- Nicole Holofcener (6 1/2)
Box of Moon Light,1996,(US-JAP) d.- Tom DiCillo (6 1/2)
Schizopolis,1996,d.- Steven Soderbergh (6 1/2)
Carried Away,1996,d.- Bruno Barreto (6 1/2)
The Chamber,1996,d.- James Foley (6 1/2)
The Phantom,1996,(AUS-US) d.- Simon Wincer (6 1/2)
Last Man Standing,1996,d.- Walter Hill (6 1/2)
She’s the One,1996,d.- Edward Burns (6 1/2)
When Saturday Comes,1996,(BR) d.- Maria Giese (6 1/2)
Albino Alligator,1996,(US-FR) d.- Kevin Spacey (6 1/2)
The War at Home,1996,d.- Emilio Estevez (6 1/2)
Kama Sutra: A Tale of Love,1996,(IND) d.- Mira Nair (6 1/2)
The Cable Guy,1996,d.- Ben Stiller (6 1/2)
The Last Supper,1996,d.- Stacy Title (6 1/2)
Eraser,1996,d.- Chuck Russell (6 1/2)
Normal Life,1996,d.- John McNaughton (6 1/2)
The War Between Us,1996,(CAN) d.- Anne Wheeler (6 1/2)
Shiloh,1996,d.- Dale Rosenbloom (6 1/2)
Sweet Nothing,1996,d.- Gary Winick (6 1/2)
Children of the Revolution,1996,(AUS) d.- Peter Duncan (6 1/2)
I’m Not Rappaport,1996,d.- Herb Gardner (6 1/2)
My Fellow Americans,1996,d.- Peter Segal (6 1/2)
Trees Lounge,1996,d.- Steve Buscemi (6 1/2)
City Hall,1996,d.- Harold Becker (6 1/2)
Fear,1996,d.- James Foley (6 1/2)
American Buffalo,1996,(BR-US) d.- Michael Corrente (6 1/2)
The Leading Man,1996,(BR) d.- John Duigan (6 1/2)
Carla’s Song,1996,(BR-SP-GER) d.- Ken Loach (6 1/2)
Before and After,1996,d.- Barbet Schroeder (6 1/2)
101 Dalmations,1996,d.- Stephen Herek (6 1/2)
Mr. Reliable,1996,(AUS) d.- Nadia Tass (6 1/2)
Broken Arrow,1996,d.- John Woo (6 1/2)
The Secret Agent,1996,(BR) d.- Christopher Hampton (6 1/2)
Original Gangstas,1996,d.- Larry Cohen (6 1/2)
The Substitute,1996,d.- Robert Mandel (6 1/2)
Mars Attacks!,1996,d.- Tim Burton (6 1/2)
Kids in the Hall: Brain Candy,1996,(CAN-US) d.- Kelly Makin (6 1/2)
The Rich Man’s Wife,1996,d.- Amy Holden Jones (6 1/2)
The Substance of Fire,1996,d.- Daniel J. Sullivan (6 1/2)
Freeway,1996,d.- Matthew Bright (6 1/2)
The Journey of August King,1996,d.- John Duigan (6 1/2)
Sgt. Bilko,1996,d.- Jonathan Lynn (6 1/2)
Howeward Bound II: Lost in San Fransisco,1996,d.- David R. Ellis (6 1/2)
Surviving Picasso,1996,d.- James Ivory (6 1/2)
Down Periscope,1996,d.- David S. Ward (6 1/2)
Feeling Minnesota,1996,d.- Steven Baigelman (6 1/2)
Striptease,1996,d.- Andrew Bergman (6 1/2)
Faithful,1996,d.- Paul Mazursky (6 1/2)
Chain Reaction,1996,d.- Andrew Davis (6 1/2)
Angela Mooney,1996,d.- (IRE) d.- Tommy McArdle (6 1/2)
Hollow Point,1996,(US-CAN) d.- Sidney J. Furie (6 1/2)
Jack,1996,d.- Francis Ford Coppola (6 1/2)
The Spitfire Grill,1996,d.- Lee David Zlotoff (6 1/2)
Two If By Sea,1996,d.- Bill Bennett (6 1/2)
Hard Core Logo,1996,(CAN) d.- Bruce McDonald (6 1/2)
Mrs. Winterbourne,1996,d.- Richard Benjamin (6 1/2)
Boys,1996,d.- Stacy Cochran (6 1/2)
The Fan,1996,d.- Tony Scott (6 1/2)
Mrs. Winterbourne,1996,d.- Richard Benjamin (6 1/2)
Kansas City,1996,(FR-US) d.- Robert Altman (6 1/2)
Jingle All the Way,1996,d.- Brian Levant (6 1/2)
The Grave,1996,d.- Jonas Pate (6 1/2)
